epoch: 0	train ppl: 143399.82379865163	val ppl: 34964.05767002533	best val: 34964.05767002533	time (s) spent in epoch: 32.890668630599976
epoch: 1	train ppl: 6606.584113933477	val ppl: 1267.3767107355802	best val: 1267.3767107355802	time (s) spent in epoch: 34.06698989868164
epoch: 2	train ppl: 1897.740501037288	val ppl: 757.1645846292588	best val: 757.1645846292588	time (s) spent in epoch: 34.09998798370361
epoch: 3	train ppl: 732.6909973131446	val ppl: 534.8035653022531	best val: 534.8035653022531	time (s) spent in epoch: 33.92745852470398
epoch: 4	train ppl: 592.2039037333307	val ppl: 674.8446176954509	best val: 534.8035653022531	time (s) spent in epoch: 32.3236300945282
epoch: 5	train ppl: 574.9753840228956	val ppl: 417.71397309060507	best val: 417.71397309060507	time (s) spent in epoch: 33.92922782897949
epoch: 6	train ppl: 518.4030457544857	val ppl: 389.9535801805264	best val: 389.9535801805264	time (s) spent in epoch: 33.856202840805054
epoch: 7	train ppl: 467.50174388383044	val ppl: 431.0159739101784	best val: 389.9535801805264	time (s) spent in epoch: 32.312249422073364
epoch: 8	train ppl: 398.50425356753345	val ppl: 329.76416659732024	best val: 329.76416659732024	time (s) spent in epoch: 33.96294403076172
epoch: 9	train ppl: 356.9979790300154	val ppl: 332.4926341818813	best val: 329.76416659732024	time (s) spent in epoch: 32.297762632369995
epoch: 10	train ppl: 310.47011237283954	val ppl: 295.27832756310534	best val: 295.27832756310534	time (s) spent in epoch: 33.85401487350464
epoch: 11	train ppl: 268.5020173661481	val ppl: 293.3653546753374	best val: 293.3653546753374	time (s) spent in epoch: 33.86710715293884
epoch: 12	train ppl: 234.26188934326512	val ppl: 269.7112972021302	best val: 269.7112972021302	time (s) spent in epoch: 33.81591606140137
epoch: 13	train ppl: 206.24148268222615	val ppl: 251.77251922092597	best val: 251.77251922092597	time (s) spent in epoch: 33.96311020851135
epoch: 14	train ppl: 180.84174772046998	val ppl: 295.01519347827997	best val: 251.77251922092597	time (s) spent in epoch: 32.27390217781067
epoch: 15	train ppl: 137.32416579223545	val ppl: 197.34390195066547	best val: 197.34390195066547	time (s) spent in epoch: 33.865145206451416
epoch: 16	train ppl: 104.06364954281239	val ppl: 161.5586672953005	best val: 161.5586672953005	time (s) spent in epoch: 33.75436067581177
epoch: 17	train ppl: 82.45476703252686	val ppl: 144.75957048744814	best val: 144.75957048744814	time (s) spent in epoch: 33.81450033187866
epoch: 18	train ppl: 68.94126661964835	val ppl: 146.14716218520152	best val: 144.75957048744814	time (s) spent in epoch: 32.235698223114014
epoch: 19	train ppl: 61.073561793189775	val ppl: 148.33669088755371	best val: 144.75957048744814	time (s) spent in epoch: 32.23637843132019
epoch: 20	train ppl: 57.00395099709232	val ppl: 149.14168497403332	best val: 144.75957048744814	time (s) spent in epoch: 32.3626070022583
epoch: 21	train ppl: 55.23352302350952	val ppl: 148.56413284606475	best val: 144.75957048744814	time (s) spent in epoch: 32.31508755683899
epoch: 22	train ppl: 54.413118777610244	val ppl: 147.78290189708764	best val: 144.75957048744814	time (s) spent in epoch: 32.28708577156067
epoch: 23	train ppl: 54.15113980038538	val ppl: 147.4136648007406	best val: 144.75957048744814	time (s) spent in epoch: 32.27246904373169
epoch: 24	train ppl: 54.05866436052693	val ppl: 147.33632840355105	best val: 144.75957048744814	time (s) spent in epoch: 32.32738494873047
epoch: 25	train ppl: 54.019994496225735	val ppl: 147.3209432663657	best val: 144.75957048744814	time (s) spent in epoch: 32.28867292404175
epoch: 26	train ppl: 53.9858779291423	val ppl: 147.31797092362274	best val: 144.75957048744814	time (s) spent in epoch: 32.16899800300598
epoch: 27	train ppl: 54.00623100287002	val ppl: 147.317584567375	best val: 144.75957048744814	time (s) spent in epoch: 32.38547468185425
epoch: 28	train ppl: 53.975248018592175	val ppl: 147.31754944413	best val: 144.75957048744814	time (s) spent in epoch: 32.27309799194336
epoch: 29	train ppl: 53.9890529274579	val ppl: 147.31754944413	best val: 144.75957048744814	time (s) spent in epoch: 32.25207805633545
epoch: 30	train ppl: 54.00164525722872	val ppl: 147.31754505372498	best val: 144.75957048744814	time (s) spent in epoch: 32.304898262023926
epoch: 31	train ppl: 54.05614224061265	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.25444436073303
epoch: 32	train ppl: 53.950771144512515	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.33058190345764
epoch: 33	train ppl: 54.0172687427056	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.281495571136475
epoch: 34	train ppl: 54.04750461632609	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.308868408203125
epoch: 35	train ppl: 54.076843566089444	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.38272023200989
epoch: 36	train ppl: 53.99921523424574	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.22115707397461
epoch: 37	train ppl: 53.998502605805754	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.299192667007446
epoch: 38	train ppl: 54.049240198335205	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.26841473579407
epoch: 39	train ppl: 54.00643670966686	val ppl: 147.31755822494048	best val: 144.75957048744814	time (s) spent in epoch: 32.33655261993408
