epoch: 0	train ppl: 524.7776268952479	val ppl: 321.1815133298757	best val: 321.1815133298757	time (s) spent in epoch: 157.54807448387146
epoch: 1	train ppl: 298.07359681486275	val ppl: 228.80102837436948	best val: 228.80102837436948	time (s) spent in epoch: 158.3363914489746
epoch: 2	train ppl: 241.74922981888795	val ppl: 197.8578712050818	best val: 197.8578712050818	time (s) spent in epoch: 157.78093266487122
epoch: 3	train ppl: 208.19647294639748	val ppl: 178.3752860931605	best val: 178.3752860931605	time (s) spent in epoch: 158.28877520561218
epoch: 4	train ppl: 184.76949128806595	val ppl: 163.69945078765977	best val: 163.69945078765977	time (s) spent in epoch: 157.8609426021576
epoch: 5	train ppl: 167.11224590885814	val ppl: 158.45118543202204	best val: 158.45118543202204	time (s) spent in epoch: 158.1740357875824
epoch: 6	train ppl: 153.79874554687962	val ppl: 145.28994005672982	best val: 145.28994005672982	time (s) spent in epoch: 157.98901057243347
epoch: 7	train ppl: 142.33483807371226	val ppl: 143.88726322566654	best val: 143.88726322566654	time (s) spent in epoch: 158.18519806861877
epoch: 8	train ppl: 133.09939368954664	val ppl: 136.54708875361447	best val: 136.54708875361447	time (s) spent in epoch: 158.0660321712494
epoch: 9	train ppl: 125.2004160234362	val ppl: 129.3102318667748	best val: 129.3102318667748	time (s) spent in epoch: 157.96089601516724
epoch: 10	train ppl: 118.25152527238366	val ppl: 127.63894485409693	best val: 127.63894485409693	time (s) spent in epoch: 157.71059584617615
epoch: 11	train ppl: 112.38901754944021	val ppl: 129.09135839463482	best val: 127.63894485409693	time (s) spent in epoch: 157.77460932731628
epoch: 12	train ppl: 106.89933388093408	val ppl: 121.91711345770115	best val: 121.91711345770115	time (s) spent in epoch: 157.6450595855713
epoch: 13	train ppl: 102.04399485651123	val ppl: 120.07640940420178	best val: 120.07640940420178	time (s) spent in epoch: 157.9803011417389
epoch: 14	train ppl: 97.48502532909018	val ppl: 118.47556868143405	best val: 118.47556868143405	time (s) spent in epoch: 157.4756257534027
epoch: 15	train ppl: 93.72338062020567	val ppl: 116.15558332398034	best val: 116.15558332398034	time (s) spent in epoch: 157.52261066436768
epoch: 16	train ppl: 89.8601008129503	val ppl: 117.44801139885129	best val: 116.15558332398034	time (s) spent in epoch: 157.40749502182007
epoch: 17	train ppl: 86.4520943590162	val ppl: 115.62606810829742	best val: 115.62606810829742	time (s) spent in epoch: 157.7133710384369
epoch: 18	train ppl: 83.39421499329161	val ppl: 114.81689782411618	best val: 114.81689782411618	time (s) spent in epoch: 157.44505047798157
epoch: 19	train ppl: 80.50500156613106	val ppl: 115.20154051835443	best val: 114.81689782411618	time (s) spent in epoch: 157.7655622959137
epoch: 20	train ppl: 77.89614014282972	val ppl: 114.97401117002964	best val: 114.81689782411618	time (s) spent in epoch: 157.11132955551147
epoch: 21	train ppl: 75.32508475487624	val ppl: 114.49564838660109	best val: 114.49564838660109	time (s) spent in epoch: 157.4611005783081
epoch: 22	train ppl: 73.11381037823924	val ppl: 113.67094266378285	best val: 113.67094266378285	time (s) spent in epoch: 157.46176147460938
epoch: 23	train ppl: 70.9704030508487	val ppl: 113.21259263291117	best val: 113.21259263291117	time (s) spent in epoch: 157.2848834991455
epoch: 24	train ppl: 68.77214398321097	val ppl: 115.00654617480139	best val: 113.21259263291117	time (s) spent in epoch: 157.38757705688477
epoch: 25	train ppl: 66.95946668622356	val ppl: 116.016580089487	best val: 113.21259263291117	time (s) spent in epoch: 157.6646225452423
epoch: 26	train ppl: 65.26765151516956	val ppl: 115.24386662430955	best val: 113.21259263291117	time (s) spent in epoch: 157.49010038375854
epoch: 27	train ppl: 63.61842357796147	val ppl: 116.53534253839378	best val: 113.21259263291117	time (s) spent in epoch: 157.59003710746765
epoch: 28	train ppl: 62.15751129299745	val ppl: 114.32216485133722	best val: 113.21259263291117	time (s) spent in epoch: 157.0629165172577
epoch: 29	train ppl: 60.70656621223936	val ppl: 115.31483431208248	best val: 113.21259263291117	time (s) spent in epoch: 157.51560425758362
epoch: 30	train ppl: 59.357223336061665	val ppl: 115.79933631956786	best val: 113.21259263291117	time (s) spent in epoch: 157.2962396144867
epoch: 31	train ppl: 58.1739865917851	val ppl: 117.8673187106206	best val: 113.21259263291117	time (s) spent in epoch: 157.53941416740417
epoch: 32	train ppl: 56.92301433938021	val ppl: 117.50271669424306	best val: 113.21259263291117	time (s) spent in epoch: 157.2664177417755
epoch: 33	train ppl: 55.74151116021231	val ppl: 117.58633521723394	best val: 113.21259263291117	time (s) spent in epoch: 157.43424701690674
epoch: 34	train ppl: 54.70144881339122	val ppl: 117.38442135838007	best val: 113.21259263291117	time (s) spent in epoch: 157.25140118598938
epoch: 35	train ppl: 53.68794399001474	val ppl: 118.8538031234571	best val: 113.21259263291117	time (s) spent in epoch: 157.5119857788086
epoch: 36	train ppl: 52.67263468711172	val ppl: 118.79831774789771	best val: 113.21259263291117	time (s) spent in epoch: 157.23395228385925
epoch: 37	train ppl: 51.83970901644181	val ppl: 118.55727899136389	best val: 113.21259263291117	time (s) spent in epoch: 157.86850500106812
epoch: 38	train ppl: 50.86788888822028	val ppl: 120.35670261876093	best val: 113.21259263291117	time (s) spent in epoch: 157.308598279953
epoch: 39	train ppl: 50.10169821501328	val ppl: 119.29013731813778	best val: 113.21259263291117	time (s) spent in epoch: 157.9476978778839
