epoch: 0	train ppl: 322.49741726200546	val ppl: 175.743933786558	best val: 175.743933786558	time (s) spent in epoch: 16.162243366241455
epoch: 1	train ppl: 124.46225086643021	val ppl: 138.3552950159556	best val: 138.3552950159556	time (s) spent in epoch: 15.767821073532104
epoch: 2	train ppl: 81.70510722432995	val ppl: 132.37056965683337	best val: 132.37056965683337	time (s) spent in epoch: 15.75316834449768
epoch: 3	train ppl: 59.47065797845777	val ppl: 134.41295099301647	best val: 132.37056965683337	time (s) spent in epoch: 15.77027678489685
epoch: 4	train ppl: 45.233127627785635	val ppl: 147.35031429006935	best val: 132.37056965683337	time (s) spent in epoch: 15.852193355560303
epoch: 5	train ppl: 35.38212511605688	val ppl: 163.60549878413914	best val: 132.37056965683337	time (s) spent in epoch: 15.877449989318848
epoch: 6	train ppl: 28.23118193916649	val ppl: 188.38272232811056	best val: 132.37056965683337	time (s) spent in epoch: 15.794511079788208
epoch: 7	train ppl: 22.88486285242626	val ppl: 218.97343855138263	best val: 132.37056965683337	time (s) spent in epoch: 15.822118282318115
epoch: 8	train ppl: 19.00506916980561	val ppl: 252.77497624038924	best val: 132.37056965683337	time (s) spent in epoch: 15.768913984298706
epoch: 9	train ppl: 15.999223619485274	val ppl: 293.05701243102857	best val: 132.37056965683337	time (s) spent in epoch: 15.800945520401001
epoch: 10	train ppl: 13.721043909196926	val ppl: 339.39918731527524	best val: 132.37056965683337	time (s) spent in epoch: 15.843523025512695
epoch: 11	train ppl: 11.961432764542494	val ppl: 393.0767418513945	best val: 132.37056965683337	time (s) spent in epoch: 15.756083488464355
epoch: 12	train ppl: 10.564997478752565	val ppl: 453.7675772570226	best val: 132.37056965683337	time (s) spent in epoch: 15.768427610397339
epoch: 13	train ppl: 9.46122510228338	val ppl: 516.9956586272895	best val: 132.37056965683337	time (s) spent in epoch: 15.783944368362427
epoch: 14	train ppl: 8.568156652321175	val ppl: 600.3956824869045	best val: 132.37056965683337	time (s) spent in epoch: 15.822351694107056
epoch: 15	train ppl: 7.825243601864953	val ppl: 685.5574754800324	best val: 132.37056965683337	time (s) spent in epoch: 15.85448694229126
epoch: 16	train ppl: 7.222558861851814	val ppl: 773.4901307341433	best val: 132.37056965683337	time (s) spent in epoch: 15.832386016845703
epoch: 17	train ppl: 6.705841121931886	val ppl: 858.8060005815627	best val: 132.37056965683337	time (s) spent in epoch: 15.755693912506104
epoch: 18	train ppl: 6.267005279367501	val ppl: 969.0190214489047	best val: 132.37056965683337	time (s) spent in epoch: 15.819410800933838
epoch: 19	train ppl: 5.9006278071871945	val ppl: 1089.415356356437	best val: 132.37056965683337	time (s) spent in epoch: 15.778427600860596
epoch: 20	train ppl: 5.580540194998306	val ppl: 1236.6632243411152	best val: 132.37056965683337	time (s) spent in epoch: 15.859929084777832
epoch: 21	train ppl: 5.305434898129142	val ppl: 1379.9674008057668	best val: 132.37056965683337	time (s) spent in epoch: 15.77932071685791
epoch: 22	train ppl: 5.045384665664195	val ppl: 1508.7550501511269	best val: 132.37056965683337	time (s) spent in epoch: 15.814634799957275
epoch: 23	train ppl: 4.823260553716053	val ppl: 1647.304766911846	best val: 132.37056965683337	time (s) spent in epoch: 15.798383235931396
epoch: 24	train ppl: 4.640449723952317	val ppl: 1825.633769188995	best val: 132.37056965683337	time (s) spent in epoch: 15.815799236297607
epoch: 25	train ppl: 4.464627016546728	val ppl: 2009.2222041740638	best val: 132.37056965683337	time (s) spent in epoch: 15.875879287719727
epoch: 26	train ppl: 4.310026822203787	val ppl: 2204.3563446918483	best val: 132.37056965683337	time (s) spent in epoch: 15.843319416046143
epoch: 27	train ppl: 4.165305183810847	val ppl: 2396.3446827208627	best val: 132.37056965683337	time (s) spent in epoch: 15.760637521743774
epoch: 28	train ppl: 4.032458029925627	val ppl: 2555.985251616612	best val: 132.37056965683337	time (s) spent in epoch: 15.776998043060303
epoch: 29	train ppl: 3.9175382653734485	val ppl: 2775.1229075000297	best val: 132.37056965683337	time (s) spent in epoch: 15.786636114120483
epoch: 30	train ppl: 3.8094307705700228	val ppl: 2996.2874292615975	best val: 132.37056965683337	time (s) spent in epoch: 15.87840747833252
epoch: 31	train ppl: 3.7267119106418343	val ppl: 3066.6335963082593	best val: 132.37056965683337	time (s) spent in epoch: 15.821051120758057
epoch: 32	train ppl: 3.6302276823650272	val ppl: 3223.7088106973547	best val: 132.37056965683337	time (s) spent in epoch: 15.812306880950928
epoch: 33	train ppl: 3.5393344992720714	val ppl: 3515.6362301289405	best val: 132.37056965683337	time (s) spent in epoch: 15.769567251205444
epoch: 34	train ppl: 3.4626657906585834	val ppl: 3770.7451343423772	best val: 132.37056965683337	time (s) spent in epoch: 15.884280681610107
epoch: 35	train ppl: 3.3901351512571574	val ppl: 3994.8393460103703	best val: 132.37056965683337	time (s) spent in epoch: 15.977595567703247
epoch: 36	train ppl: 3.325063366645459	val ppl: 4222.347860705911	best val: 132.37056965683337	time (s) spent in epoch: 15.880310773849487
epoch: 37	train ppl: 3.2677689886798236	val ppl: 4412.2612576405845	best val: 132.37056965683337	time (s) spent in epoch: 15.816580533981323
epoch: 38	train ppl: 3.206875269638466	val ppl: 4667.067900617755	best val: 132.37056965683337	time (s) spent in epoch: 15.834302425384521
epoch: 39	train ppl: 3.1523125836624026	val ppl: 4980.970600162114	best val: 132.37056965683337	time (s) spent in epoch: 15.84634518623352
