epoch: 0	train ppl: 475.92380230568284	val ppl: 289.16395879191833	best val: 289.16395879191833	time (s) spent in epoch: 159.15912628173828
epoch: 1	train ppl: 243.26211591391706	val ppl: 214.3833275293449	best val: 214.3833275293449	time (s) spent in epoch: 159.01674056053162
epoch: 2	train ppl: 186.6211607230195	val ppl: 176.1919410554234	best val: 176.1919410554234	time (s) spent in epoch: 159.30461645126343
epoch: 3	train ppl: 154.56670356512439	val ppl: 154.62440405452944	best val: 154.62440405452944	time (s) spent in epoch: 158.57931780815125
epoch: 4	train ppl: 132.92731455310908	val ppl: 144.85075928172628	best val: 144.85075928172628	time (s) spent in epoch: 159.2720983028412
epoch: 5	train ppl: 116.67081003593769	val ppl: 133.39620743291454	best val: 133.39620743291454	time (s) spent in epoch: 158.85039615631104
epoch: 6	train ppl: 103.94897219231667	val ppl: 128.08246873812382	best val: 128.08246873812382	time (s) spent in epoch: 159.1303596496582
epoch: 7	train ppl: 93.88345433756598	val ppl: 123.8269399123107	best val: 123.8269399123107	time (s) spent in epoch: 159.0090184211731
epoch: 8	train ppl: 85.1731896090321	val ppl: 124.94209635691507	best val: 123.8269399123107	time (s) spent in epoch: 159.62280535697937
epoch: 9	train ppl: 77.95158533262655	val ppl: 121.98955076065808	best val: 121.98955076065808	time (s) spent in epoch: 159.0790741443634
epoch: 10	train ppl: 71.63888509621262	val ppl: 121.69390893636242	best val: 121.69390893636242	time (s) spent in epoch: 159.37745022773743
epoch: 11	train ppl: 66.16372148417452	val ppl: 123.1280258234969	best val: 121.69390893636242	time (s) spent in epoch: 159.00521683692932
epoch: 12	train ppl: 61.405698203321165	val ppl: 124.56864232928065	best val: 121.69390893636242	time (s) spent in epoch: 159.19011902809143
epoch: 13	train ppl: 57.32132059980111	val ppl: 124.27653148436852	best val: 121.69390893636242	time (s) spent in epoch: 159.04353761672974
epoch: 14	train ppl: 53.60584465623452	val ppl: 124.46311304472837	best val: 121.69390893636242	time (s) spent in epoch: 159.03794074058533
epoch: 15	train ppl: 48.16213936859809	val ppl: 127.38339328768144	best val: 121.69390893636242	time (s) spent in epoch: 158.87744426727295
epoch: 16	train ppl: 41.838457861160634	val ppl: 124.62806563829194	best val: 121.69390893636242	time (s) spent in epoch: 159.14040613174438
epoch: 17	train ppl: 36.63919415289272	val ppl: 123.928083034816	best val: 121.69390893636242	time (s) spent in epoch: 158.8676586151123
epoch: 18	train ppl: 33.083819344812646	val ppl: 123.57716630475342	best val: 121.69390893636242	time (s) spent in epoch: 159.23195362091064
epoch: 19	train ppl: 31.359362725321194	val ppl: 122.1373494238949	best val: 121.69390893636242	time (s) spent in epoch: 158.9918508529663
epoch: 20	train ppl: 30.819873124003113	val ppl: 119.93729962826899	best val: 119.93729962826899	time (s) spent in epoch: 159.30556559562683
epoch: 21	train ppl: 30.70110232900275	val ppl: 119.20780444334152	best val: 119.20780444334152	time (s) spent in epoch: 159.25531816482544
epoch: 22	train ppl: 30.651105694523817	val ppl: 119.05781680027334	best val: 119.05781680027334	time (s) spent in epoch: 158.90017199516296
epoch: 23	train ppl: 30.65866561067352	val ppl: 118.93414799279667	best val: 118.93414799279667	time (s) spent in epoch: 159.00279259681702
epoch: 24	train ppl: 30.600224665825234	val ppl: 118.90189553553098	best val: 118.90189553553098	time (s) spent in epoch: 158.5989646911621
epoch: 25	train ppl: 30.5924550740177	val ppl: 118.8974149495286	best val: 118.8974149495286	time (s) spent in epoch: 158.9969162940979
epoch: 26	train ppl: 30.604444032032003	val ppl: 118.89636151257288	best val: 118.89636151257288	time (s) spent in epoch: 159.18354725837708
epoch: 27	train ppl: 30.599255705085437	val ppl: 118.89622112700991	best val: 118.89622112700991	time (s) spent in epoch: 159.1610713005066
epoch: 28	train ppl: 30.5149069116675	val ppl: 118.89625136388639	best val: 118.89622112700991	time (s) spent in epoch: 158.65091490745544
epoch: 29	train ppl: 30.647191836490908	val ppl: 118.8962421848338	best val: 118.89622112700991	time (s) spent in epoch: 158.70305848121643
epoch: 30	train ppl: 30.65396326842849	val ppl: 118.89624542449937	best val: 118.89622112700991	time (s) spent in epoch: 158.5615234375
epoch: 31	train ppl: 30.622264520011303	val ppl: 118.89624812422066	best val: 118.89622112700991	time (s) spent in epoch: 158.86280226707458
epoch: 32	train ppl: 30.568097460449177	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 158.6955602169037
epoch: 33	train ppl: 30.506281667397484	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 158.35318207740784
epoch: 34	train ppl: 30.596143551101004	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 158.70894169807434
epoch: 35	train ppl: 30.505940313691326	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 159.020911693573
epoch: 36	train ppl: 30.52205655494271	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 158.86856079101562
epoch: 37	train ppl: 30.63826897636117	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 159.01161170005798
epoch: 38	train ppl: 30.565424813642565	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 158.7708284854889
epoch: 39	train ppl: 30.593119581923247	val ppl: 118.89624380466657	best val: 118.89622112700991	time (s) spent in epoch: 159.02327418327332
