epoch: 0	train ppl: 143399.82379865163	val ppl: 34964.05767002533	best val: 34964.05767002533	time (s) spent in epoch: 32.312748432159424
epoch: 1	train ppl: 6606.584113933477	val ppl: 1267.3767107355802	best val: 1267.3767107355802	time (s) spent in epoch: 32.19949650764465
epoch: 2	train ppl: 1897.740501037288	val ppl: 757.1645846292588	best val: 757.1645846292588	time (s) spent in epoch: 32.38689112663269
epoch: 3	train ppl: 732.6909973131446	val ppl: 534.8035653022531	best val: 534.8035653022531	time (s) spent in epoch: 32.338709354400635
epoch: 4	train ppl: 592.2039037333307	val ppl: 674.8446176954509	best val: 534.8035653022531	time (s) spent in epoch: 32.34851908683777
epoch: 5	train ppl: 574.9753840228956	val ppl: 417.71397309060507	best val: 417.71397309060507	time (s) spent in epoch: 32.3135769367218
epoch: 6	train ppl: 518.4030457544857	val ppl: 389.9535801805264	best val: 389.9535801805264	time (s) spent in epoch: 32.28229522705078
epoch: 7	train ppl: 467.50174388383044	val ppl: 431.0159739101784	best val: 389.9535801805264	time (s) spent in epoch: 32.25003242492676
epoch: 8	train ppl: 398.50425356753345	val ppl: 329.76416659732024	best val: 329.76416659732024	time (s) spent in epoch: 32.288466691970825
epoch: 9	train ppl: 356.9979790300154	val ppl: 332.4926341818813	best val: 329.76416659732024	time (s) spent in epoch: 32.26093554496765
epoch: 10	train ppl: 310.47011237283954	val ppl: 295.27832756310534	best val: 295.27832756310534	time (s) spent in epoch: 32.33662533760071
epoch: 11	train ppl: 268.5020173661481	val ppl: 293.3653546753374	best val: 293.3653546753374	time (s) spent in epoch: 32.21368718147278
epoch: 12	train ppl: 234.26188934326512	val ppl: 269.7112972021302	best val: 269.7112972021302	time (s) spent in epoch: 32.277578353881836
epoch: 13	train ppl: 206.24148268222615	val ppl: 251.77251922092597	best val: 251.77251922092597	time (s) spent in epoch: 32.281869888305664
epoch: 14	train ppl: 180.84174772046998	val ppl: 295.01519347827997	best val: 251.77251922092597	time (s) spent in epoch: 32.267154693603516
epoch: 15	train ppl: 162.4878765364541	val ppl: 190.4601175166636	best val: 190.4601175166636	time (s) spent in epoch: 32.30366086959839
epoch: 16	train ppl: 144.38775553517323	val ppl: 195.13018439269896	best val: 190.4601175166636	time (s) spent in epoch: 32.37405729293823
epoch: 17	train ppl: 128.4215813852231	val ppl: 194.3679436051594	best val: 190.4601175166636	time (s) spent in epoch: 32.30107760429382
epoch: 18	train ppl: 119.5081023404302	val ppl: 183.66556579380278	best val: 183.66556579380278	time (s) spent in epoch: 32.29260039329529
epoch: 19	train ppl: 106.112454019653	val ppl: 204.1696770004823	best val: 183.66556579380278	time (s) spent in epoch: 32.16037464141846
epoch: 20	train ppl: 96.28485949920467	val ppl: 165.05547642447564	best val: 165.05547642447564	time (s) spent in epoch: 32.327200412750244
epoch: 21	train ppl: 88.82849284757924	val ppl: 191.6784048315086	best val: 165.05547642447564	time (s) spent in epoch: 32.279855251312256
epoch: 22	train ppl: 78.6587221783159	val ppl: 189.58847295660226	best val: 165.05547642447564	time (s) spent in epoch: 32.27587699890137
epoch: 23	train ppl: 73.09512564993297	val ppl: 184.76031818445384	best val: 165.05547642447564	time (s) spent in epoch: 32.26762652397156
epoch: 24	train ppl: 65.87799546632112	val ppl: 199.0140099240977	best val: 165.05547642447564	time (s) spent in epoch: 32.31113839149475
epoch: 25	train ppl: 60.88149817832942	val ppl: 182.5761737619178	best val: 165.05547642447564	time (s) spent in epoch: 32.346282720565796
epoch: 26	train ppl: 55.07775026215145	val ppl: 202.66477103779633	best val: 165.05547642447564	time (s) spent in epoch: 32.203490257263184
epoch: 27	train ppl: 50.03903040315801	val ppl: 217.01461022061116	best val: 165.05547642447564	time (s) spent in epoch: 32.36779594421387
epoch: 28	train ppl: 45.91781114184273	val ppl: 251.82596414863468	best val: 165.05547642447564	time (s) spent in epoch: 32.2431857585907
epoch: 29	train ppl: 42.64911187768792	val ppl: 257.8573716659323	best val: 165.05547642447564	time (s) spent in epoch: 32.27756357192993
epoch: 30	train ppl: 37.524616276081815	val ppl: 244.6149513450601	best val: 165.05547642447564	time (s) spent in epoch: 32.357287645339966
epoch: 31	train ppl: 35.43468309247536	val ppl: 255.40865455527916	best val: 165.05547642447564	time (s) spent in epoch: 32.21650528907776
epoch: 32	train ppl: 31.99309405228681	val ppl: 335.02869890772797	best val: 165.05547642447564	time (s) spent in epoch: 32.251025676727295
epoch: 33	train ppl: 29.76561426227534	val ppl: 324.2719560729	best val: 165.05547642447564	time (s) spent in epoch: 32.26583409309387
epoch: 34	train ppl: 27.237530451418426	val ppl: 327.13607510996593	best val: 165.05547642447564	time (s) spent in epoch: 32.19452261924744
epoch: 35	train ppl: 24.96050198766797	val ppl: 353.355894254105	best val: 165.05547642447564	time (s) spent in epoch: 32.338433504104614
epoch: 36	train ppl: 23.3021779771983	val ppl: 321.2905170996563	best val: 165.05547642447564	time (s) spent in epoch: 32.23369479179382
epoch: 37	train ppl: 21.490997101785517	val ppl: 396.43087408829007	best val: 165.05547642447564	time (s) spent in epoch: 32.24694585800171
epoch: 38	train ppl: 19.802080731673993	val ppl: 431.6007661453249	best val: 165.05547642447564	time (s) spent in epoch: 32.2487154006958
epoch: 39	train ppl: 18.00788119134234	val ppl: 481.1505207406267	best val: 165.05547642447564	time (s) spent in epoch: 32.25730109214783
